Time,hares,foxes
33.8,2455.5635,5.006845
33.9,2464.787,5.0233994
34,2474.0435,5.0402412
34.1,2483.3325,5.057374
34.2,2492.6543,5.074801
34.3,2502.0088,5.092526
34.4,2511.3962,5.1105523
34.5,2520.8167,5.1288834
34.6,2530.27,5.1475234
34.7,2539.7563,5.166476
34.8,2549.276,5.185744
34.9,2558.8286,5.2053323
35,2568.4146,5.225245
35.1,2578.034,5.2454853
35.2,2587.6865,5.266058
35.3,2597.3726,5.286967
35.4,2607.0923,5.308216
35.5,2616.8455,5.3298106
35.6,2626.6323,5.351754
35.7,2636.453,5.3740516
35.8,2646.3071,5.396707
35.9,2656.1953,5.419726
36,2666.1172,5.4431124
36.1,2676.073,5.4668713
36.2,2686.0627,5.491008
36.3,2696.0867,5.515527
36.4,2706.1445,5.5404334
36.5,2716.2363,5.565733
36.6,2726.3625,5.5914307
36.7,2736.523,5.617532
36.8,2746.7175,5.644042
36.9,2756.9463,5.670967
37,2767.2097,5.6983123
37.1,2777.5073,5.7260838
37.2,2787.8394,5.7542872
37.3,2798.2058,5.782929
37.4,2808.6067,5.812015
37.5,2819.0422,5.8415513
37.6,2829.5125,5.871545
37.7,2840.017,5.902002
37.8,2850.5564,5.932929
37.9,2861.1304,5.964333
38,2871.7388,5.996221
38.1,2882.3823,6.0285993
38.2,2893.0603,6.0614758
38.3,2903.7732,6.0948577
38.4,2914.5208,6.1287518
38.5,2925.303,6.1631665
38.6,2936.12,6.1981087
38.7,2946.9722,6.2335873
38.8,2957.859,6.269609
38.9,2968.7805,6.3061833
39,2979.737,6.3433175
39.1,2990.7283,6.3810205
39.2,3001.7544,6.419301
39.3,3012.8154,6.458168
39.4,3023.9111,6.49763
39.5,3035.042,6.5376964
39.6,3046.2073,6.578377
39.7,3057.4077,6.61968
39.8,3068.6426,6.6616163
39.9,3079.9126,6.7041955
40,3091.217,6.747428
40.1,3102.5564,6.791323
40.2,3113.9304,6.835892
40.3,3125.3394,6.881146
40.4,3136.7827,6.927095
40.5,3148.2607,6.97375
40.6,3159.7732,7.021123
40.7,3171.3203,7.0692253
40.8,3182.9019,7.118069
40.9,3194.5178,7.1676655
41,3206.1682,7.2180276
41.1,3217.853,7.2691674
41.2,3229.572,7.3210983
41.3,3241.3252,7.3738327
41.4,3253.1123,7.427384
41.5,3264.9338,7.4817653
41.6,3276.789,7.5369916
41.7,3288.6785,7.5930758
41.8,3300.6013,7.650033
41.9,3312.558,7.707877
42,3324.5486,7.766624
42.1,3336.5725,7.8262887
42.2,3348.63,7.886886
42.3,3360.7205,7.9484324
42.4,3372.8442,8.010944
42.5,3385.0012,8.074438
42.6,3397.191,8.13893
42.7,3409.4138,8.204438
42.8,3421.669,8.27098
42.9,3433.957,8.3385725
43,3446.2773,8.407235
43.1,3458.6296,8.476986
43.2,3471.0144,8.547843
43.3,3483.431,8.619828
43.4,3495.8792,8.692959
43.5,3508.359,8.767257
43.6,3520.8699,8.842743
43.7,3533.4124,8.919436
43.8,3545.9856,8.99736
43.9,3558.5896,9.076537
44,3571.2244,9.156987
44.1,3583.8892,9.238735
44.2,3596.5842,9.321804
44.3,3609.309,9.406218
44.4,3622.0637,9.492001
44.5,3634.8474,9.579177
44.6,3647.6604,9.667772
44.7,3660.5022,9.757813
44.8,3673.3726,9.849325
44.9,3686.271,9.942337
45,3699.1975,10.036875
45.1,3712.1516,10.132966
45.2,3725.133,10.230642
45.3,3738.1416,10.32993
45.4,3751.1768,10.4308605
45.5,3764.238,10.533465
45.6,3777.3254,10.6377735
45.7,3790.4382,10.743819
45.8,3803.5764,10.851634
45.9,3816.7393,10.961251
46,3829.9265,11.072706
46.1,3843.138,11.186031
46.2,3856.3726,11.301264
46.3,3869.6304,11.41844
46.4,3882.911,11.537597
46.5,3896.2136,11.658771
46.6,3909.538,11.782002
46.7,3922.8835,11.9073305
46.8,3936.2498,12.034795
46.9,3949.6362,12.164438
47,3963.0422,12.296301
47.1,3976.4673,12.430427
47.2,3989.911,12.56686
47.3,4003.3723,12.705646
47.4,4016.851,12.846828
47.5,4030.3464,12.990457
47.6,4043.858,13.136577
47.7,4057.3848,13.285239
47.8,4070.9265,13.436493
47.9,4084.4822,13.590389
48,4098.0513,13.746981
48.1,4111.633,13.906321
48.2,4125.226,14.068462
48.3,4138.8306,14.233463
48.4,4152.4453,14.401379
48.5,4166.07,14.572268
48.6,4179.703,14.746189
48.7,4193.3438,14.923204
48.8,4206.9917,15.1033745
48.9,4220.6455,15.286763
49,4234.304,15.473434
49.1,4247.968,15.663456
49.2,4261.634,15.8568945
49.3,4275.3027,16.053818
49.4,4288.9727,16.2543
49.5,4302.6426,16.458408
49.6,4316.312,16.66622
49.7,4329.979,16.877808
49.8,4343.643,17.09325
49.9,4357.303,17.312626
50,4370.9575,17.536015
50.1,4384.6055,17.763498
50.2,4398.2456,17.99516
50.3,4411.8765,18.231085
50.4,4425.4966,18.471363
50.5,4439.1055,18.716082
50.6,4452.7007,18.965332
50.7,4466.2817,19.219206
50.8,4479.8467,19.477802
50.9,4493.3945,19.741215
51,4506.923,20.009544
51.1,4520.431,20.282892
51.2,4533.917,20.561361
51.3,4547.3794,20.845058
51.4,4560.8164,21.134092
51.5,4574.2266,21.42857
51.6,4587.608,21.728607
51.7,4600.9585,22.034317
51.8,4614.277,22.34582
51.9,4627.561,22.66323
52,4640.809,22.986677
52.1,4654.019,23.316282
52.2,4667.1895,23.652172
52.3,4680.3174,23.994478
52.4,4693.401,24.343334
52.5,4706.4385,24.698875
52.6,4719.4272,25.06124
52.7,4732.3657,25.430567
52.8,4745.251,25.807005
52.9,4758.0806,26.190699
53,4770.853,26.581797
53.1,4783.565,26.980455
53.2,4796.2144,27.38683
53.3,4808.7983,27.801077
53.4,4821.315,28.223362
53.5,4833.7607,28.653849
53.6,4846.1333,29.092709
53.7,4858.43,29.54011
53.8,4870.648,29.996231
53.9,4882.784,30.461248
54,4894.836,30.935347
54.1,4906.7993,31.418709
54.2,4918.6724,31.911526
54.3,4930.4517,32.41399
54.4,4942.1333,32.926296
54.5,4953.715,33.448643
54.6,4965.1924,33.98124
54.7,4976.563,34.524284
54.8,4987.8228,35.07799
54.9,4998.9683,35.64258
55,5009.9956,36.21826
55.1,5020.9014,36.805256
55.2,5031.682,37.403793
55.3,5042.3335,38.014103
55.4,5052.8516,38.636414
55.5,5063.2324,39.270966
55.6,5073.472,39.917995
55.7,5083.5664,40.57775
55.8,5093.511,41.250477
55.9,5103.3022,41.936424
56,5112.9346,42.63585
56.1,5122.405,43.349007
56.2,5131.7075,44.076164
56.3,5140.8384,44.81758
56.4,5149.7925,45.573536
56.5,5158.5654,46.34429
56.6,5167.1523,47.13013
56.7,5175.5483,47.931328
56.8,5183.748,48.74817
56.9,5191.7466,49.58094
57,5199.539,50.429924
57.1,5207.12,51.29542
57.2,5214.4844,52.17772
57.3,5221.626,53.07712
57.4,5228.5405,53.99392
57.5,5235.2217,54.928425
57.6,5241.664,55.880936
57.7,5247.8623,56.85176
57.8,5253.81,57.841206
57.9,5259.502,58.849586
58,5264.932,59.877213
58.1,5270.0947,60.924393
58.2,5274.9834,61.991447
58.3,5279.5923,63.07869
58.4,5283.915,64.18643
58.5,5287.946,65.314995
58.6,5291.678,66.46468
58.7,5295.1064,67.635826
58.8,5298.223,68.828735
58.9,5301.023,70.04372
59,5303.499,71.28108
59.1,5305.645,72.541145
59.2,5307.454,73.82422
59.3,5308.9204,75.13059
59.4,5310.037,76.46059
59.5,5310.798,77.81448
59.6,5311.196,79.19259
59.7,5311.2246,80.59519
59.8,5310.8774,82.02256
59.9,5310.148,83.47499
60,5309.03,84.95274
60.1,5307.5166,86.45609
60.2,5305.601,87.98529
60.3,5303.278,89.54059
60.4,5300.5396,91.12222
60.5,5297.3804,92.73043
60.6,5293.7935,94.365425
60.7,5289.7734,96.02743
60.8,5285.3135,97.71663
60.9,5280.4077,99.43321
61,5275.05,101.17736
61.1,5269.235,102.94923
61.2,5262.9556,104.748955
61.3,5256.2075,106.576675
61.4,5248.985,108.4325
61.5,5241.2817,110.31653
61.6,5233.0933,112.22882
61.7,5224.4146,114.16946
61.8,5215.24,116.138466
61.9,5205.566,118.13587
62,5195.3867,120.16166
62.1,5184.6987,122.215805
62.2,5173.4976,124.29827
62.3,5161.78,126.40898
62.4,5149.5415,128.54782
62.5,5136.779,130.71469
62.6,5123.4893,132.90944
62.7,5109.67,135.13187
62.8,5095.318,137.38177
62.9,5080.431,139.65895
63,5065.0083,141.9631
63.1,5049.0464,144.29395
63.2,5032.5454,146.65117
63.3,5015.504,149.0344
63.4,4997.921,151.44324
63.5,4979.797,153.87729
63.6,4961.132,156.33607
63.7,4941.926,158.8191
63.8,4922.18,161.32588
63.9,4901.8965,163.8558
64,4881.0757,166.40831
64.1,4859.72,168.98276
64.2,4837.8335,171.57849
64.3,4815.4175,174.1948
64.4,4792.4756,176.83095
64.5,4769.0127,179.48616
64.6,4745.032,182.15964
64.7,4720.539,184.85054
64.8,4695.5386,187.55798
64.9,4670.0366,190.28105
65,4644.039,193.01881
65.1,4617.5527,195.77026
65.2,4590.584,198.53441
65.3,4563.1406,201.31018
65.4,4535.231,204.09653
65.5,4506.863,206.89233
65.6,4478.0454,209.69644
65.7,4448.7876,212.5077
65.8,4419.0986,215.32492
65.9,4388.9893,218.14687
66,4358.4697,220.9723
66.1,4327.551,223.79996
66.2,4296.243,226.62852
66.3,4264.5596,229.45671
66.4,4232.5107,232.28317
66.5,4200.1094,235.10658
66.6,4167.368,237.92554
66.7,4134.3003,240.7387
66.8,4100.9185,243.54465
66.9,4067.2366,246.342
67,4033.268,249.12933
67.1,3999.0269,251.90524
67.2,3964.5273,254.66832
67.3,3929.784,257.41714
67.4,3894.811,260.1503
67.5,3859.6238,262.86633
67.6,3824.2366,265.56387
67.7,3788.6646,268.24152
67.8,3752.923,270.89783
67.9,3717.027,273.53146
68,3680.992,276.14105
68.1,3644.833,278.72522
68.2,3608.5652,281.28262
68.3,3572.2039,283.81195
68.4,3535.7644,286.31192
68.5,3499.262,288.78125
68.6,3462.7114,291.21866
68.7,3426.128,293.62296
68.8,3389.5264,295.99295
68.9,3352.9214,298.32745
69,3316.3276,300.62537
69.1,3279.7595,302.88556
69.2,3243.2314,305.107
69.3,3206.7568,307.2886
69.4,3170.35,309.42947
69.5,3134.0242,311.52856
69.6,3097.7927,313.58502
69.7,3061.6687,315.59796
69.8,3025.6648,317.56656
69.9,2989.7932,319.49002
70,2954.0662,321.36758
70.1,2918.4954,323.19858
70.2,2883.0925,324.98233
70.3,2847.8684,326.71823
70.4,2812.834,328.40573
70.5,2777.9995,330.04425
70.6,2743.375,331.6334
