Time,x[1],x[2],x[3]
0.000281,-0.15704341,-0.04353214,0.100467466
0.000282,-0.15660307,-0.044537127,0.10052815
0.000283,-0.15615267,-0.04554269,0.10058351
0.000284,-0.1556922,-0.046548784,0.100633524
0.000285,-0.15522167,-0.04755535,0.100678176
0.000286,-0.15474108,-0.048562337,0.10071743
0.000287,-0.15425041,-0.04956969,0.10075129
0.000288,-0.15374967,-0.05057735,0.10077971
0.000289,-0.15323886,-0.05158527,0.1008027
0.00029,-0.15271796,-0.05259339,0.10082021
0.000291,-0.15218699,-0.05360166,0.100832246
0.000292,-0.15164593,-0.054610018,0.10083878
0.000293,-0.1510948,-0.055618417,0.10083979
0.000294,-0.15053356,-0.0566268,0.10083527
0.000295,-0.14996225,-0.05763511,0.10082519
0.000296,-0.14938085,-0.058643293,0.10080954
0.000297,-0.14878936,-0.05965129,0.100788295
0.000298,-0.1481878,-0.060659047,0.10076145
0.000299,-0.14757617,-0.061666507,0.10072898
0.0003,-0.14695446,-0.06267361,0.10069087
0.000301,-0.1463227,-0.06368031,0.10064711
0.000302,-0.14568084,-0.064686544,0.100597665
0.000303,-0.14502895,-0.06569225,0.100542545
0.000304,-0.144367,-0.06669738,0.10048172
0.000305,-0.143695,-0.067701876,0.100415185
0.000306,-0.14301296,-0.06870567,0.100342914
0.000307,-0.14232089,-0.06970872,0.10026489
0.000308,-0.14161877,-0.07071096,0.10018112
0.000309,-0.14090666,-0.07171232,0.10009157
0.00031,-0.14018454,-0.07271277,0.09999623
0.000311,-0.1394524,-0.07371224,0.0998951
0.000312,-0.13871028,-0.07471066,0.09978815
0.000313,-0.13795818,-0.07570799,0.09967538
0.000314,-0.13719611,-0.07670416,0.09955677
0.000315,-0.13642408,-0.07769911,0.099432305
0.000316,-0.13564211,-0.078692794,0.09930199
0.000317,-0.13485022,-0.07968514,0.0991658
0.000318,-0.1340484,-0.08067609,0.099023715
0.000319,-0.13323669,-0.0816656,0.098875746
0.00032,-0.13241509,-0.0826536,0.09872187
0.000321,-0.13158362,-0.083640024,0.098562084
0.000322,-0.13074228,-0.08462483,0.09839637
0.000323,-0.12989111,-0.08560794,0.09822472
0.000324,-0.12903012,-0.08658931,0.09804713
0.000325,-0.12815933,-0.087568864,0.097863585
0.000326,-0.12727876,-0.08854656,0.09767409
0.000327,-0.1263884,-0.08952233,0.097478606
0.000328,-0.1254883,-0.090496115,0.09727716
0.000329,-0.12457847,-0.09146786,0.097069725
0.00033,-0.12365894,-0.0924375,0.096856296
0.000331,-0.12272972,-0.09340497,0.09663687
0.000332,-0.121790834,-0.09437022,0.09641144
0.000333,-0.12084231,-0.09533319,0.09617999
0.000334,-0.11988416,-0.096293814,0.09594253
0.000335,-0.11891642,-0.097252026,0.095699035
0.000336,-0.117939115,-0.09820778,0.09544952
0.000337,-0.11695226,-0.09916101,0.09519397
0.000338,-0.1159559,-0.10011164,0.09493238
0.000339,-0.11495003,-0.10105964,0.094664745
0.00034,-0.1139347,-0.10200492,0.09439106
0.000341,-0.112909935,-0.10294744,0.09411133
0.000342,-0.111875765,-0.10388713,0.09382555
0.000343,-0.1108322,-0.10482393,0.0935337
0.000344,-0.10977928,-0.10575779,0.09323579
0.000345,-0.10871704,-0.10668864,0.09293182
0.000346,-0.107645504,-0.10761642,0.09262178
0.000347,-0.10656471,-0.10854106,0.09230568
0.000348,-0.10547468,-0.109462515,0.091983505
0.000349,-0.10437545,-0.11038072,0.09165526
0.00035,-0.10326706,-0.1112956,0.091320954
0.000351,-0.10214954,-0.11220712,0.09098057
0.000352,-0.101022914,-0.11311521,0.090634115
0.000353,-0.09988723,-0.11401979,0.09028159
0.000354,-0.09874252,-0.11492082,0.089922994
0.000355,-0.097588815,-0.11581823,0.089558326
0.000356,-0.09642616,-0.11671197,0.0891876
0.000357,-0.095254585,-0.11760197,0.0888108
0.000358,-0.09407413,-0.11848817,0.08842794
0.000359,-0.09288482,-0.11937051,0.08803901
0.00036,-0.09168672,-0.12024893,0.087644026
0.000361,-0.09047984,-0.12112337,0.08724298
0.000362,-0.08926425,-0.12199378,0.08683589
0.000363,-0.088039964,-0.12286008,0.08642275
0.000364,-0.08680704,-0.12372222,0.086003564
0.000365,-0.08556552,-0.12458014,0.08557833
0.000366,-0.08431544,-0.12543377,0.08514707
0.000367,-0.083056845,-0.12628306,0.08470977
0.000368,-0.08178978,-0.12712795,0.084266454
0.000369,-0.08051429,-0.12796837,0.08381711
0.00037,-0.07923041,-0.12880428,0.08336176
0.000371,-0.07793821,-0.1296356,0.0829004
0.000372,-0.07663771,-0.13046227,0.082433045
0.000373,-0.07532897,-0.13128424,0.081959695
0.000374,-0.07401203,-0.13210145,0.08148036
0.000375,-0.07268695,-0.13291383,0.080995046
0.000376,-0.07135376,-0.13372134,0.08050377
0.000377,-0.070012525,-0.13452388,0.080006525
0.000378,-0.068663284,-0.13532144,0.079503335
0.000379,-0.067306094,-0.13611394,0.0789942
0.00038,-0.065941006,-0.13690132,0.07847914
0.000381,-0.06456807,-0.13768351,0.07795815
0.000382,-0.06318734,-0.13846046,0.077431254
0.000383,-0.061798863,-0.13923211,0.07689846
0.000384,-0.060402695,-0.13999842,0.07635978
0.000385,-0.058998898,-0.1407593,0.075815216
0.000386,-0.057587516,-0.1415147,0.07526479
0.000387,-0.05616861,-0.14226457,0.074708514
0.000388,-0.054742232,-0.14300886,0.0741464
0.000389,-0.05330844,-0.1437475,0.073578455
0.00039,-0.05186729,-0.1444804,0.0730047
0.000391,-0.050418846,-0.14520757,0.07242515
0.000392,-0.048963152,-0.1459289,0.0718398
0.000393,-0.047500275,-0.14664434,0.07124869
0.000394,-0.046030268,-0.14735386,0.07065182
0.000395,-0.044553198,-0.14805737,0.07004921
0.000396,-0.043069124,-0.14875482,0.06944088
0.000397,-0.041578107,-0.14944617,0.06882683
0.000398,-0.040080205,-0.15013134,0.0682071
0.000399,-0.03857548,-0.1508103,0.06758169
0.0004,-0.037064,-0.15148297,0.06695062
0.000401,-0.035545826,-0.15214929,0.06631391
0.000402,-0.034021024,-0.15280923,0.06567157
0.000403,-0.03248965,-0.15346271,0.06502364
0.000404,-0.030951777,-0.15410969,0.06437011
0.000405,-0.02940747,-0.1547501,0.06371102
0.000406,-0.02785679,-0.15538388,0.06304638
0.000407,-0.026299808,-0.156011,0.062376216
0.000408,-0.024736587,-0.1566314,0.061700538
0.000409,-0.02316719,-0.157245,0.061019372
0.00041,-0.021591691,-0.15785177,0.06033274
0.000411,-0.02001016,-0.15845165,0.05964066
0.000412,-0.018422663,-0.15904456,0.05894316
0.000413,-0.016829275,-0.15963049,0.058240253
0.000414,-0.01523006,-0.16020936,0.057531968
0.000415,-0.013625093,-0.16078112,0.056818325
0.000416,-0.012014444,-0.1613457,0.056099348
0.000417,-0.010398186,-0.16190308,0.055375062
0.000418,-0.008776391,-0.16245319,0.054645486
