Time,y,x
0.00233,-0.86734676,0.03382472
0.00234,-0.8649658,0.025163176
0.00235,-0.8625979,0.016525373
0.00236,-0.86024356,0.007911183
0.00237,-0.8579034,-0.0006795347
0.00238,-0.855578,-0.009246926
0.00239,-0.8532678,-0.01779114
0.0024,-0.85097337,-0.026312327
0.00241,-0.8486953,-0.03481065
0.00242,-0.84643394,-0.043286275
0.00243,-0.84418994,-0.051739376
0.00244,-0.84196377,-0.060170125
0.00245,-0.8397558,-0.068578705
0.00246,-0.83756655,-0.076965295
0.00247,-0.8353965,-0.08533009
0.00248,-0.8332461,-0.09367328
0.00249,-0.8311157,-0.101995066
0.0025,-0.8290058,-0.11029565
0.00251,-0.8269167,-0.118575245
0.00252,-0.82484883,-0.12683405
0.00253,-0.82280266,-0.13507229
0.00254,-0.8207784,-0.14329016
0.00255,-0.8187765,-0.15148792
0.00256,-0.81679726,-0.15966576
0.00257,-0.81484103,-0.16782393
0.00258,-0.81290805,-0.17596264
0.00259,-0.8109987,-0.18408217
0.0026,-0.80911314,-0.19218269
0.00261,-0.80725175,-0.2002645
0.00262,-0.80541474,-0.2083278
0.00263,-0.8036024,-0.21637286
0.00264,-0.8018148,-0.22439992
0.00265,-0.8000523,-0.23240924
0.00266,-0.798315,-0.24040104
0.00267,-0.796603,-0.24837561
0.00268,-0.7949167,-0.25633317
0.00269,-0.79325604,-0.26427403
0.0027,-0.7916212,-0.27219838
0.00271,-0.7900123,-0.2801065
0.00272,-0.78842944,-0.2879987
0.00273,-0.7868727,-0.2958752
0.00274,-0.78534204,-0.30373624
0.00275,-0.7838377,-0.31158212
0.00276,-0.78235954,-0.31941307
0.00277,-0.78090763,-0.32722938
0.00278,-0.77948195,-0.3350313
0.00279,-0.77808255,-0.3428191
0.0028,-0.77670926,-0.35059303
0.00281,-0.7753622,-0.35835338
0.00282,-0.7740411,-0.36610037
0.00283,-0.772746,-0.37383428
0.00284,-0.77147675,-0.38155535
0.00285,-0.7702333,-0.3892639
0.00286,-0.7690153,-0.3969601
0.00287,-0.76782286,-0.40464428
0.00288,-0.7666556,-0.41231665
0.00289,-0.7655134,-0.41997746
0.0029,-0.7643961,-0.427627
0.00291,-0.76330334,-0.43526545
0.00292,-0.762235,-0.44289315
0.00293,-0.7611908,-0.45051023
0.00294,-0.76017034,-0.45811704
0.00295,-0.7591734,-0.4657137
0.00296,-0.7581997,-0.47330058
0.00297,-0.7572488,-0.4808778
0.00298,-0.7563205,-0.4884456
0.00299,-0.7554143,-0.49600428
0.003,-0.75452983,-0.503554
0.00301,-0.75366676,-0.5110949
0.00302,-0.7528246,-0.5186274
0.00303,-0.7520029,-0.5261515
0.00304,-0.7512013,-0.5336675
0.00305,-0.75041914,-0.5411756
0.00306,-0.7496561,-0.54867595
0.00307,-0.7489116,-0.5561688
0.00308,-0.74818516,-0.56365424
0.00309,-0.74747616,-0.57113254
0.0031,-0.74678415,-0.5786038
0.00311,-0.7461084,-0.5860683
0.00312,-0.74544847,-0.59352607
0.00313,-0.74480367,-0.6009773
0.00314,-0.7441734,-0.60842216
0.00315,-0.743557,-0.6158608
0.00316,-0.74295384,-0.62329334
0.00317,-0.74236315,-0.63071996
0.00318,-0.7417844,-0.6381407
0.00319,-0.7412168,-0.6455557
0.0032,-0.7406596,-0.652965
0.00321,-0.7401121,-0.66036886
0.00322,-0.7395736,-0.6677673
0.00323,-0.7390433,-0.6751604
0.00324,-0.7385204,-0.6825482
0.00325,-0.738004,-0.68993086
0.00326,-0.7374935,-0.6973083
0.00327,-0.736988,-0.70468074
