Time,hares,foxes
764,395.31802,32.909073
765,404.96448,30.684345
766,415.29074,28.624304
767,426.3027,26.716814
768,438.00858,24.950602
769,450.41858,23.315205
770,463.54483,21.80091
771,477.40143,20.398724
772,492.00412,19.100306
773,507.37045,17.897938
774,523.51953,16.784477
775,540.4722,15.753316
776,558.2508,14.7983465
777,576.87933,13.913925
778,596.3833,13.094837
779,616.78973,12.336268
780,638.1274,11.633776
781,660.42645,10.983261
782,683.71875,10.380944
783,708.0377,9.823342
784,733.41846,9.307246
785,759.8976,8.829704
786,787.5137,8.388
787,816.3067,7.9796343
788,846.3186,7.602317
789,877.5931,7.2539454
790,910.17554,6.932595
791,944.11334,6.6365066
792,979.4557,6.3640757
793,1016.25385,6.113843
794,1054.5608,5.8844867
795,1094.4319,5.6748137
796,1135.9241,5.483753
797,1179.0968,5.3103523
798,1224.0112,5.15377
799,1270.7308,5.013275
800,1319.3214,4.8882427
801,1369.8503,4.7781525
802,1422.3877,4.68259
803,1477.0052,4.6012473
804,1533.777,4.5339246
805,1592.779,4.4805346
806,1654.0891,4.44111
807,1717.787,4.4158096
808,1783.954,4.4049296
809,1852.6729,4.408918
810,1924.0277,4.428388
811,1998.1031,4.464144
812,2074.9846,4.517203
813,2154.757,4.5888267
814,2237.5054,4.680563
815,2323.312,4.794292
816,2412.2578,4.932284
817,2504.4194,5.0972724
818,2599.8684,5.2925444
819,2698.6692,5.5220466
820,2800.8762,5.790525
821,2906.5325,6.103692
822,3015.664,6.468436
823,3128.2769,6.893083
824,3244.3508,7.387726
825,3363.8323,7.964631
826,3486.626,8.638757
827,3612.5825,9.428398
828,3741.4868,10.356003
829,3873.0386,11.449193
830,4006.831,12.742053
831,4142.324,14.2767315
832,4278.81,16.10544
833,4415.371,18.292913
834,4550.827,20.919384
835,4683.6743,24.084135
836,4812.01,27.909548
837,4933.449,32.545517
838,5045.0327,38.17381
839,5143.137,45.01152
840,5223.4023,53.31226
841,5280.7046,63.36275
842,5309.211,75.47163
843,5302.5796,89.946175
844,5254.3584,107.05268
845,5158.642,126.957794
846,5010.991,149.65285
847,4809.5234,174.87213
848,4555.9634,202.0268
849,4256.3086,230.18446
850,3920.7705,258.12177
851,3562.8027,284.45737
